,ID,Age,Sex,Group,Day sacrificed,Batch,Wt(g) Day0,Wt(g) Day1,Wt(g) Day2,Wt(g) Day3,Wt(g) Day4,Wt(g) Day5,Wt(g) Day6,Wt(g) Day7,Wt(g) Day8,Wt(g) Day9,Wt(g) Day10,Wt(g) Day11,Wt(g) Day12,Wt(g) Day13,Wt(g) Day14,Wt(g) Day15,Wt(g) Day16,Wt(g) Day17,Wt(g) Day18,Wt(g) Day19,Wt(g) Day20,Wt(g) Day21,Day3check,Day7check,Day14check,Wt change% 0_7,PR8 Total virus load (copies/ng RNA),PA Live virus load,Lung Pathology (0-4),Plate,IL1b (19) total,IL6 (38) total,IL10 (56) total,IL17 (72) total,IFNG (34) total,TNFA (21) total,IL2 total,IL4 total,IL5 total,IL22 total,IL1b (19) gender,IL6 (38) gender,IL10 (56) gender,IL17 (72) gender,IFNG (34) gender,TNFA (21) gender,IL2 gender,IL4 gender,IL5 gender,IL22 gender,SS1 Total bacteria load (copies/ng DNA),Inflamm,Epi defect,Muc meta,Hyalinosis,Oxyntic at,Fov hyper,Dysplasia,Pyloric meta,Stom Pathology (sum),Liv Pathology (0-16),Dysplasia present score 1,Column,FACS-Sp (1),FACS-Lu (5),log10(viral load),log10(bacterial load),Wt change% 7_14,Age_Sex_Combo,Wt change% 0_14,Day sacrificed > 14,SS1_load_cleaned,fractional_weight_change_0_1,absolute_weight_change0_1,fractional_weight_change_1_2,absolute_weight_change1_2,fractional_weight_change_2_3,absolute_weight_change2_3,fractional_weight_change_3_4,absolute_weight_change3_4,fractional_weight_change_4_5,absolute_weight_change4_5,fractional_weight_change_5_6,absolute_weight_change5_6,fractional_weight_change_6_7,absolute_weight_change6_7,fractional_weight_change_7_8,absolute_weight_change7_8,fractional_weight_change_8_9,absolute_weight_change8_9,fractional_weight_change_9_10,absolute_weight_change9_10,fractional_weight_change_10_11,absolute_weight_change10_11,fractional_weight_change_11_12,absolute_weight_change11_12,fractional_weight_change_12_13,absolute_weight_change12_13,fractional_weight_change_13_14,absolute_weight_change13_14
0,13-5917,Adult,Male,Hp-Flu-,3,1,29.7,28.8,28.3,29.1,,,,,,,,,,,,,,,,,,,fine,check,check,,,,0.5,1,1.903945939,1.501000836,1.743574915,1.383255308,2.398161822,1.793573687,,,,,1.715526956,1.289259666,1.604657263,1.345663078,2.390831478,1.71767849,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,,,,,,,AdultMale,,False,,-0.030303030303,-0.9,-0.0173611111111,-0.5,0.0282685512367,0.8,,,,,,,,,,,,,,,,,,,,,,
1,13-5918,Adult,Male,Hp-Flu-,3,1,29.7,28.5,28.8,29.7,,,,,,,,,,,,,,,,,,,fine,check,check,,,,0.0,1,2.072352591,2.421007539,3.053925205,1.938710863,2.706664028,1.879044878,,,,,1.867267688,2.079484098,2.810606656,1.886023218,2.698390699,1.799532962,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,AdultMale,,False,,-0.040404040404,-1.2,0.0105263157895,0.3,0.03125,0.9,,,,,,,,,,,,,,,,,,,,,,
2,13-5919,Adult,Male,Hp-Flu-,3,1,29.7,29.0,28.5,28.8,,,,,,,,,,,,,,,,,,,fine,check,check,,,,0.5,1,1.904872191,1.623214112,1.278416456,1.199284389,1.40497331,1.099422595,,,,,1.716361544,1.394232723,1.176559857,1.16669187,1.400678796,1.052900451,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,,,,,,,AdultMale,,False,,-0.023569023569,-0.7,-0.0172413793103,-0.5,0.0105263157895,0.3,,,,,,,,,,,,,,,,,,,,,,
3,13-5920,Adult,Male,Hp-Flu-,3,1,23.1,23.0,22.5,22.6,,,,,,,,,,,,,,,,,,,fine,check,check,,,,0.5,1,1.086026815,1.189907017,0.950481252,1.050995933,1.28119265,1.028194275,,,,,0.978551039,1.022050812,0.874752574,1.022433396,1.277276491,0.984686161,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,,,,,,,AdultMale,,False,,-0.004329004329,-0.1,-0.0217391304348,-0.5,0.00444444444444,0.1,,,,,,,,,,,,,,,,,,,,,,
4,13-5921,Adult,Male,Hp-Flu-,3,1,23.2,23.0,22.9,23.0,,,,,,,,,,,,,,,,,,,fine,check,check,,,,0.0,1,1.335949619,1.519367981,1.148108469,1.289077191,0.567639068,1.385644619,,,,,1.203740892,1.305035819,1.056634032,1.254044406,0.565903993,1.32701097,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,,,,,,,AdultMale,,False,,-0.00862068965517,-0.2,-0.00434782608696,-0.1,0.00436681222707,0.1,,,,,,,,,,,,,,,,,,,,,,
5,13-5922,Adult,Male,Hp-Flu-,7,1,25.2,24.5,24.5,24.7,24.8,24.8,24.6,25.2,,,,,,,,,,,,,,,fine,fine,check,0.0,,,0.5,1,0.687765929,1.08626041,0.840899511,0.859809829,1.364527064,0.982733673,,,,,0.619702989,0.933025285,0.773901652,0.836443087,1.360356181,0.941149229,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,,,,,,,AdultMale,,False,,-0.0277777777778,-0.7,0.0,0.0,0.00816326530612,0.2,0.00404858299595,0.1,0.0,0.0,-0.00806451612903,-0.2,0.0243902439024,0.6,,,,,,,,,,,,,,
6,13-5923,Adult,Male,Hp-Flu-,7,1,31.5,30.1,30.3,31.0,30.7,30.2,29.4,30.2,,,,,,,,,,,,,,,fine,fine,check,-4.12698412698,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,,,,,,,AdultMale,,False,,-0.0444444444444,-1.4,0.00664451827243,0.2,0.023102310231,0.7,-0.00967741935484,-0.3,-0.0162866449511,-0.5,-0.0264900662252,-0.8,0.0272108843537,0.8,,,,,,,,,,,,,,
7,13-5924,Adult,Male,Hp-Flu-,7,1,26.6,25.4,25.6,26.1,26.5,26.1,25.6,26.7,,,,,,,,,,,,,,,fine,fine,check,0.375939849624,,,0.5,1,0.81928353,0.966911955,0.702711382,0.819203732,0.465167945,1.001420961,,,,,0.738205299,0.830512917,0.646723529,0.796940528,0.463746089,0.959045762,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,,,,,,,AdultMale,,False,,-0.0451127819549,-1.2,0.00787401574803,0.2,0.01953125,0.5,0.0153256704981,0.4,-0.0150943396226,-0.4,-0.0191570881226,-0.5,0.04296875,1.1,,,,,,,,,,,,,,
8,13-5925,Adult,Male,Hp-Flu-,7,1,30.4,29.0,29.4,29.9,29.9,30.0,29.1,29.8,,,,,,,,,,,,,,,fine,fine,check,-1.97368421053,,,0.5,1,1.419827271,1.454677442,1.015934156,1.446293245,1.599998997,1.170684784,,,,,1.279317814,1.249470958,0.934990581,1.406987856,1.595108358,1.121147175,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,AdultMale,,False,,-0.0460526315789,-1.4,0.0137931034483,0.4,0.0170068027211,0.5,0.0,0.0,0.00334448160535,0.1,-0.03,-0.9,0.0240549828179,0.7,,,,,,,,,,,,,,
9,13-5926,Adult,Male,Hp-Flu-,7,1,28.7,28.0,27.6,28.2,28.3,28.4,27.8,28.4,,,,,,,,,,,,,,,fine,fine,check,-1.04529616725,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,,,,,,,AdultMale,,False,,-0.0243902439024,-0.7,-0.0142857142857,-0.4,0.0217391304348,0.6,0.00354609929078,0.1,0.00353356890459,0.1,-0.0211267605634,-0.6,0.0215827338129,0.6,,,,,,,,,,,,,,
